X,Y,PILE ID,Pile Color,X,Y,Z
-93.9966721942556,34.9203691879644,5.65-S1.R049.L,Yellow,13688930.27,3012387.276,69.7258
-93.9957087671852,34.9202514016648,5.65-S1.R050.A,Light Blue,13689221.02,3012413.939,69.7675
-93.9957759902032,34.920264881531,5.65-S1.R050.B,Light Green,13689200.28,3012413.939,69.75496683
-93.9958650591151,34.9202827419717,5.65-S1.R050.C,Light Blue,13689172.8,3012413.939,69.73836069
-93.9959541280654,34.9203006023473,5.65-S1.R050.D,Light Blue,13689145.32,3012413.939,69.72175455
-93.9960431970542,34.9203184626578,5.65-S1.R050.E,Light Blue,13689117.84,3012413.939,69.70514841
-93.9961322660814,34.9203363229033,5.65-S1.R050.F,Light Blue,13689090.36,3012413.939,69.68854226
-93.9962190338715,34.9203537216315,5.65-S1.R050.G,Purple,13689063.59,3012413.939,69.67236517
-93.9963058016981,34.9203711202979,5.65-S1.R050.H,Light Blue,13689036.82,3012413.939,69.65618808
-93.9963948708386,34.9203889803515,5.65-S1.R050.I,Light Blue,13689009.34,3012413.939,69.63958194
-93.9964839400176,34.92040684034,5.65-S1.R050.J,Light Blue,13688981.86,3012413.939,69.6229758
-93.9965730092349,34.9204247002634,5.65-S1.R050.K,Light Green,13688954.38,3012413.939,69.60636965
-93.9966511555122,34.9204403698879,5.65-S1.R050.L,Yellow,13688930.27,3012413.939,69.5918
-93.9956929853622,34.9203047953263,5.65-S1.R051.A,Yellow,13689221.02,3012433.939,69.49033483
-93.995760208421,34.9203182752011,5.65-S1.R051.B,Light Green,13689200.28,3012433.939,69.47780166
-93.9958492773869,34.9203361356531,5.65-S1.R051.C,Yellow,13689172.8,3012433.939,69.46119552
-93.9959383463913,34.92035399604,5.65-S1.R051.D,Yellow,13689145.32,3012433.939,69.44458938
-93.9960274154341,34.9203718563618,5.65-S1.R051.E,Yellow,13689117.84,3012433.939,69.42798323
-93.9961164845153,34.9203897166186,5.65-S1.R051.F,Yellow,13689090.36,3012433.939,69.41137709
-93.9962032523581,34.9204071153578,5.65-S1.R051.G,Dark Blue,13689063.59,3012433.939,69.3952
-93.9962900202374,34.9204245140352,5.65-S1.R051.H,Yellow,13689036.82,3012433.939,69.37902291
-93.9963790894319,34.9204423741001,5.65-S1.R051.I,Yellow,13689009.34,3012433.939,69.36241677
-93.9964681586649,34.9204602341,5.65-S1.R051.J,Yellow,13688981.86,3012433.939,69.34581062
-93.9965572279363,34.9204780940347,5.65-S1.R051.K,Light Green,13688954.38,3012433.939,69.32920448
-93.996635374261,34.9204937636691,5.65-S1.R051.L,Yellow,13688930.27,3012433.939,69.31463483
-93.9956772035189,34.9203581889851,5.65-S1.R052.A,Yellow,13689221.02,3012453.939,69.46033483
-93.9957444266184,34.9203716688684,5.65-S1.R052.B,Light Green,13689200.28,3012453.939,69.44780166
-93.9958334956384,34.9203895293317,5.65-S1.R052.C,Yellow,13689172.8,3012453.939,69.43119552
