PILE ID,Pile Color,X,Y,Z
5.65-S1.R050.C,Light Blue,13689172.8,3012413.939,69.73836069
5.65-S1.R050.D,Light Blue,13689145.32,3012413.939,69.72175455
5.65-S1.R050.E,Light Blue,13689117.84,3012413.939,69.70514841
5.65-S1.R050.F,Light Blue,13689090.36,3012413.939,69.68854226
5.65-S1.R050.G,Purple,13689063.59,3012413.939,69.67236517
5.65-S1.R050.H,Light Blue,13689036.82,3012413.939,69.65618808
5.65-S1.R050.I,Light Blue,13689009.34,3012413.939,69.63958194
5.65-S1.R050.J,Light Blue,13688981.86,3012413.939,69.6229758
5.65-S1.R050.K,Light Green,13688954.38,3012413.939,69.60636965
5.65-S1.R050.L,Yellow,13688930.27,3012413.939,69.5918
5.65-S1.R051.A,Yellow,13689221.02,3012433.939,69.49033483
5.65-S1.R051.B,Light Green,13689200.28,3012433.939,69.47780166
5.65-S1.R051.C,Yellow,13689172.8,3012433.939,69.46119552
5.65-S1.R051.D,Yellow,13689145.32,3012433.939,69.44458938
5.65-S1.R051.E,Yellow,13689117.84,3012433.939,69.42798323
5.65-S1.R051.F,Yellow,13689090.36,3012433.939,69.41137709
5.65-S1.R051.G,Dark Blue,13689063.59,3012433.939,69.3952
5.65-S1.R051.H,Yellow,13689036.82,3012433.939,69.37902291
5.65-S1.R051.I,Yellow,13689009.34,3012433.939,69.36241677
5.65-S1.R051.J,Yellow,13688981.86,3012433.939,69.34581062
5.65-S1.R051.K,Light Green,13688954.38,3012433.939,69.32920448
5.65-S1.R051.L,Yellow,13688930.27,3012433.939,69.31463483
5.65-S1.R052.A,Yellow,13689221.02,3012453.939,69.46033483
5.65-S1.R052.B,Light Green,13689200.28,3012453.939,69.44780166
5.65-S1.R052.C,Yellow,13689172.8,3012453.939,69.43119552
5.65-S1.R052.D,Yellow,13689145.32,3012453.939,69.41458938
5.65-S1.R052.E,Yellow,13689117.84,3012453.939,69.39798323
5.65-S1.R052.F,Yellow,13689090.36,3012453.939,69.38137709
5.65-S1.R052.G,Dark Blue,13689063.59,3012453.939,69.3652
5.65-S1.R052.H,Yellow,13689036.82,3012453.939,69.34902291
5.65-S1.R052.I,Yellow,13689009.34,3012453.939,69.33241677
5.65-S1.R052.J,Yellow,13688981.86,3012453.939,69.31581062
5.65-S1.R052.K,Light Green,13688954.38,3012453.939,69.29920448
5.65-S1.R052.L,Yellow,13688930.27,3012453.939,69.28463483
5.65-S1.R053.A,Yellow,13689221.02,3012473.939,69.43033483
5.65-S1.R053.B,Light Green,13689200.28,3012473.939,69.41780166
5.65-S1.R053.C,Yellow,13689172.8,3012473.939,69.40119552
5.65-S1.R053.D,Yellow,13689145.32,3012473.939,69.38458938
5.65-S1.R053.E,Yellow,13689117.84,3012473.939,69.36798323
5.65-S1.R053.F,Yellow,13689090.36,3012473.939,69.35137709
5.65-S1.R053.G,Dark Blue,13689063.59,3012473.939,69.3352
5.65-S1.R053.H,Yellow,13689036.82,3012473.939,69.31902291
5.65-S1.R053.I,Yellow,13689009.34,3012473.939,69.30241677
5.65-S1.R053.J,Yellow,13688981.86,3012473.939,69.28581062
5.65-S1.R053.K,Light Green,13688954.38,3012473.939,69.26920448
5.65-S1.R053.L,Yellow,13688930.27,3012473.939,69.25463483
5.65-S1.R054.A,Yellow,13689221.02,3012493.939,69.40033483
5.65-S1.R054.B,Light Green,13689200.28,3012493.939,69.38780166
5.65-S1.R054.C,Yellow,13689172.8,3012493.939,69.37119552
5.65-S1.R054.D,Yellow,13689145.32,3012493.939,69.35458938
