id,northing,easting,z,color
08.S4.R33.H,2165345.24,6532039.14,0,Pink - White
08.S4.R33.I,2165311.49,6532039.14,0,Pink - White
08.S4.R33.J,2165277.74,6532039.14,0,Blue - White
08.S4.R33.K,2165248.13,6532039.14,0,Blue - White
08.S4.R33.L,2165218.52,6532039.14,0,Blue - Black
08.S4.R34.A,2165570.73,6532057.14,0,Blue - Black
08.S4.R34.B,2165541.12,6532057.14,0,Blue - White
08.S4.R34.C,2165511.51,6532057.14,0,Blue - White
08.S4.R34.D,2165477.76,6532057.14,0,Blue - White
08.S4.R34.E,2165444.01,6532057.14,0,Pink - White
08.S4.R34.F,2165410.26,6532057.14,0,Pink - White
08.S4.R34.G,2165377.99,6532057.14,0,Green
08.S4.R34.H,2165345.72,6532057.14,0,Pink - White
08.S4.R34.I,2165311.97,6532057.14,0,Pink - White
08.S4.R34.J,2165278.22,6532057.14,0,Blue - White
08.S4.R34.K,2165248.61,6532057.14,0,Blue - White
08.S4.R34.L,2165219,6532057.14,0,Blue - Black
08.S3.R15.A,2165937.24,6531715.14,0,Pink - Black
08.S3.R15.B,2165907.62,6531715.14,0,Pink - White
08.S3.R15.C,2165878.01,6531715.14,0,Blue - White
08.S3.R15.D,2165844.27,6531715.14,0,Blue - White
08.S3.R15.E,2165810.52,6531715.14,0,Pink - White
08.S3.R15.F,2165776.77,6531715.14,0,Pink - White
08.S3.R15.G,2165744.5,6531715.14,0,Green
08.S3.R15.H,2165712.22,6531715.14,0,Pink - White
08.S3.R15.I,2165678.48,6531715.14,0,Pink - White
08.S3.R15.J,2165644.73,6531715.14,0,Blue - White
08.S3.R15.K,2165615.12,6531715.14,0,Blue - White
08.S3.R15.L,2165585.5,6531715.14,0,Blue - Black
08.S3.R16.A,2165937.72,6531733.14,0,Purple - Black
08.S3.R16.B,2165908.11,6531733.14,0,Purple - White
08.S3.R16.C,2165878.5,6531733.14,0,Blue - White
08.S3.R16.D,2165844.75,6531733.14,0,Blue - White
08.S3.R16.E,2165811,6531733.14,0,Pink - White
08.S3.R16.F,2165777.25,6531733.14,0,Pink - White
08.S3.R16.G,2165744.98,6531733.14,0,Green
08.S3.R16.H,2165712.71,6531733.14,0,Pink - White
08.S3.R16.I,2165678.96,6531733.14,0,Pink - White
08.S3.R16.J,2165645.21,6531733.14,0,Blue - White
08.S3.R16.K,2165615.6,6531733.14,0,Blue - White
08.S3.R16.L,2165585.99,6531733.14,0,Blue - Black
08.S3.R17.A,2165938.2,6531751.14,0,Pink - Black
08.S3.R17.B,2165908.59,6531751.14,0,Pink - White
08.S3.R17.C,2165878.98,6531751.14,0,Blue - White
08.S3.R17.D,2165845.23,6531751.14,0,Blue - White
08.S3.R17.E,2165811.48,6531751.14,0,Pink - White
08.S3.R17.F,2165777.73,6531751.14,0,Pink - White
08.S3.R17.G,2165745.46,6531751.14,0,Green
08.S3.R17.H,2165713.19,6531751.14,0,Pink - White
08.S3.R17.I,2165679.44,6531751.14,0,Pink - White
08.S3.R17.J,2165645.69,6531751.14,0,Blue - White
08.S3.R17.K,2165616.08,6531751.14,0,Blue - White
08.S3.R17.L,2165586.47,6531751.14,0,Blue - Black
08.S3.R18.A,2165938.68,6531769.14,0,Pink - Black
08.S3.R18.B,2165909.07,6531769.14,0,Pink - White
08.S3.R18.C,2165879.46,6531769.14,0,Blue - White
08.S3.R18.D,2165845.71,6531769.14,0,Blue - White
08.S3.R18.E,2165811.96,6531769.14,0,Pink - White
08.S3.R18.F,2165778.22,6531769.14,0,Pink - White
08.S3.R18.G,2165745.94,6531769.14,0,Green
08.S3.R18.H,2165713.67,6531769.14,0,Pink - White
08.S3.R18.I,2165679.92,6531769.14,0,Pink - White
08.S3.R18.J,2165646.17,6531769.14,0,Blue - White
08.S3.R18.K,2165616.56,6531769.14,0,Blue - White
08.S3.R18.L,2165586.95,6531769.14,0,Blue - Black
08.S3.R19.A,2165939.17,6531787.14,0,Pink - Black
08.S3.R19.B,2165909.55,6531787.14,0,Pink - White
08.S3.R19.C,2165879.94,6531787.14,0,Blue - White
08.S3.R19.D,2165846.19,6531787.14,0,Blue - White
08.S3.R19.E,2165812.45,6531787.14,0,Pink - White
08.S3.R19.F,2165778.7,6531787.14,0,Pink - White
08.S3.R19.G,2165746.43,6531787.14,0,Green
08.S3.R19.H,2165714.15,6531787.14,0,Pink - White
08.S3.R19.I,2165680.4,6531787.14,0,Pink - White
08.S3.R19.J,2165646.66,6531787.14,0,Blue - White
08.S3.R19.K,2165617.04,6531787.14,0,Blue - White
08.S3.R19.L,2165587.43,6531787.14,0,Blue - Black
08.S3.R20.A,2165939.65,6531805.14,0,Pink - Black
08.S3.R20.B,2165910.04,6531805.14,0,Pink - White
08.S3.R20.C,2165880.43,6531805.14,0,Blue - White
08.S3.R20.D,2165846.68,6531805.14,0,Blue - White
08.S3.R20.E,2165812.93,6531805.14,0,Pink - White
08.S3.R20.F,2165779.18,6531805.14,0,Pink - White
08.S3.R20.G,2165746.91,6531805.14,0,Green
08.S3.R20.H,2165714.64,6531805.14,0,Pink - White
08.S3.R20.I,2165680.89,6531805.14,0,Pink - White
08.S3.R20.J,2165647.14,6531805.14,0,Blue - White
08.S3.R20.K,2165617.53,6531805.14,0,Blue - White
08.S3.R20.L,2165587.92,6531805.14,0,Blue - Black
08.S3.R21.A,2165940.13,6531823.14,0,Pink - Black
08.S3.R21.B,2165910.52,6531823.14,0,Pink - White
08.S3.R21.C,2165880.91,6531823.14,0,Blue - White
08.S3.R21.D,2165847.16,6531823.14,0,Blue - White
08.S3.R21.E,2165813.41,6531823.14,0,Pink - White
08.S3.R21.F,2165779.66,6531823.14,0,Pink - White
08.S3.R21.G,2165747.39,6531823.14,0,Green
08.S3.R21.H,2165715.12,6531823.14,0,Pink - White
08.S3.R21.I,2165681.37,6531823.14,0,Pink - White
08.S3.R21.J,2165647.62,6531823.14,0,Blue - White
08.S3.R21.K,2165618.01,6531823.14,0,Blue - White
08.S3.R21.L,2165588.4,6531823.14,0,Blue - Black
08.S3.R22.A,2165940.61,6531841.14,0,Pink - Black
08.S3.R22.B,2165911,6531841.14,0,Pink - White
08.S3.R22.C,2165881.39,6531841.14,0,Blue - White
08.S3.R22.D,2165847.64,6531841.14,0,Blue - White
08.S3.R22.E,2165813.89,6531841.14,0,Pink - White
08.S3.R22.F,2165780.15,6531841.14,0,Pink - White
08.S3.R22.G,2165747.87,6531841.14,0,Green
08.S3.R22.H,2165715.6,6531841.14,0,Pink - White
08.S3.R22.I,2165681.85,6531841.14,0,Pink - White
08.S3.R22.J,2165648.1,6531841.14,0,Blue - White
08.S3.R22.K,2165618.49,6531841.14,0,Blue - White
08.S3.R22.L,2165588.88,6531841.14,0,Blue - Black
08.S3.R23.A,2165941.09,6531859.14,0,Purple - Black
08.S3.R23.B,2165911.48,6531859.14,0,Purple - Black
08.S3.R23.C,2165881.87,6531859.14,0,Yellow - Black
08.S3.R23.D,2165848.12,6531859.14,0,Yellow - Black
08.S3.R23.E,2165814.38,6531859.14,0,Pink - Black
08.S3.R23.F,2165780.63,6531859.14,0,Pink - Black
08.S3.R23.G,2165748.35,6531859.14,0,Green
08.S3.R23.H,2165716.08,6531859.14,0,Pink - Black
08.S3.R23.I,2165682.33,6531859.14,0,Pink - Black
08.S3.R23.J,2165648.59,6531859.14,0,Yellow - Black
08.S3.R23.K,2165618.97,6531859.14,0,Yellow - Black
08.S3.R23.L,2165589.36,6531859.14,0,Yellow - Black
08.S3.R24.A,2165941.58,6531877.14,0,Blue - Black
08.S3.R24.B,2165911.97,6531877.14,0,Blue - White
08.S3.R24.C,2165882.35,6531877.14,0,Blue - White
08.S3.R24.D,2165848.61,6531877.14,0,Blue - White
08.S3.R24.E,2165814.86,6531877.14,0,Pink - White
08.S3.R24.F,2165781.11,6531877.14,0,Pink - White
08.S3.R24.G,2165748.84,6531877.14,0,Green
08.S3.R24.H,2165716.56,6531877.14,0,Pink - White
08.S3.R24.I,2165682.82,6531877.14,0,Pink - White
08.S3.R24.J,2165649.07,6531877.14,0,Blue - White
08.S3.R24.K,2165619.46,6531877.14,0,Blue - White
08.S3.R24.L,2165589.85,6531877.14,0,Blue - Black
08.S3.R25.A,2165942.06,6531895.14,0,Blue - Black
08.S3.R25.B,2165912.45,6531895.14,0,Blue - White
08.S3.R25.C,2165882.84,6531895.14,0,Blue - White
08.S3.R25.D,2165849.09,6531895.14,0,Blue - White
08.S3.R25.E,2165815.34,6531895.14,0,Pink - White
08.S3.R25.F,2165781.59,6531895.14,0,Pink - White
08.S3.R25.G,2165749.32,6531895.14,0,Green
08.S3.R25.H,2165717.05,6531895.14,0,Pink - White
08.S3.R25.I,2165683.3,6531895.14,0,Pink - White
08.S3.R25.J,2165649.55,6531895.14,0,Blue - White
08.S3.R25.K,2165619.94,6531895.14,0,Blue - White
08.S3.R25.L,2165590.33,6531895.14,0,Blue - Black
08.S3.R26.A,2165942.54,6531913.14,0,Blue - Black
08.S3.R26.B,2165912.93,6531913.14,0,Blue - White
08.S3.R26.C,2165883.32,6531913.14,0,Blue - White
08.S3.R26.D,2165849.57,6531913.14,0,Blue - White
08.S3.R26.E,2165815.82,6531913.14,0,Pink - White
08.S3.R26.F,2165782.07,6531913.14,0,Pink - White
08.S3.R26.G,2165749.8,6531913.14,0,Green
08.S3.R26.H,2165717.53,6531913.14,0,Pink - White
08.S3.R26.I,2165683.78,6531913.14,0,Pink - White
08.S3.R26.J,2165650.03,6531913.14,0,Blue - White
08.S3.R26.K,2165620.42,6531913.14,0,Blue - White
08.S3.R26.L,2165590.81,6531913.14,0,Blue - Black
08.S3.R27.A,2165943.02,6531931.14,0,Blue - Black
08.S3.R27.B,2165913.41,6531931.14,0,Blue - White
08.S3.R27.C,2165883.8,6531931.14,0,Blue - White
08.S3.R27.D,2165850.05,6531931.14,0,Blue - White
08.S3.R27.E,2165816.31,6531931.14,0,Pink - White
08.S3.R27.F,2165782.56,6531931.14,0,Pink - White
08.S3.R27.G,2165750.28,6531931.14,0,Green
08.S3.R27.H,2165718.01,6531931.14,0,Pink - White
08.S3.R27.I,2165684.26,6531931.14,0,Pink - White
08.S3.R27.J,2165650.52,6531931.14,0,Blue - White
08.S3.R27.K,2165620.9,6531931.14,0,Blue - White
08.S3.R27.L,2165591.29,6531931.14,0,Blue - Black
08.S3.R28.A,2165943.51,6531949.14,0,Blue - Black
08.S3.R28.B,2165913.9,6531949.14,0,Blue - White
08.S3.R28.C,2165884.28,6531949.14,0,Blue - White
